ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-120,-120,-120,-79,-120,-120,-93,-120,-120,-120,-120,2
-75,-120,-82,-80,-84,-120,-89,-120,-120,-120,-120,2
-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-72,-88,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-85,-93,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-64,-120,-88,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-91,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-84,-88,-87,-90,-120,-120,-120,-120,2
-69,-92,-120,-89,-120,-120,-86,-120,-120,-120,-120,2
-120,-120,-85,-120,-86,-90,-120,-120,-120,-120,-120,2
-120,-120,-84,-86,-120,-120,-120,-120,-120,-120,-120,2
-76,-87,-120,-120,-120,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-120,-88,-120,-120,-120,-120,-120,-120,2
-78,-120,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-77,-120,-92,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,2
-120,-83,-87,-91,-81,-120,-120,-120,-120,-120,-120,2
-66,-120,-120,-120,-120,-120,-93,-97,-120,-120,-120,2
-120,-120,-120,-120,-120,-91,-120,-120,-120,-120,-120,2
-120,-120,-74,-120,-120,-120,-120,-120,-120,-120,-120,2
-69,-120,-120,-87,-90,-120,-120,-120,-120,-120,-120,2
-120,-87,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-71,-120,-120,-120,-120,-98,-120,-120,-120,-120,-120,2
-120,-120,-87,-120,-89,-120,-89,-95,-120,-120,-120,2
-120,-93,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-88,-120,-120,-120,-120,-120,-120,-120,2
-120,-91,-120,-87,-83,-120,-120,-120,-120,-120,-120,2
-77,-120,-120,-120,-120,-93,-94,-120,-120,-120,-120,2
